filename,year,session number,text,speaker,country/organization,language,gender,only text
UNSC_2000_SPV.4208_spch001.txt,2000,4208,"The President: I should like to inform the Council that I have received letters from the representatives of Australia, Belarus, Croatia, Cyprus, the Democratic Republic of the Congo, Egypt, Ethiopia, Guatemala, India, Indonesia, Japan, Liechtenstein, Malawi, Mozambique, New Zealand, Norway, Pakistan, the Republic of Korea, Singapore, South Africa, the United Arab Emirates, the United Republic of Tanzania and Zimbabwe in which they request to be invited to participate in the discussion of the item on the Council's agenda. In conformity with the usual practice, I propose, with the consent of the Council, to invite those representatives to participate in the discussion without the right to vote, in accordance with the relevant provisions of the Charter and rule 37 of the Council's provisional rules of procedure.  There being no objection, it is so decided.  At the invitation of the President, Ms. Wensley (Australia), Mr. Ling (Belarus), Mr. Simonovic' (Croatia), Mr. Zackheos (Cyprus), Mr. Atoki (Democratic Republic of the Congo), Mr. Aboulgheit (Egypt), Mr. Hussein (Ethiopia), Mr. Rosenthal (Guatemala), Mr. Sharma (India), Mr. Widodo (Indonesia), Mr. Akasaka (Japan), Ms. Fritsche (Liechtenstein), Mr. Juwayeyi (Malawi), Mr. Santos (Mozambique), Mr. Powles (New Zealand), Mr. Brattskar (Norway), Mr. Ahmad (Pakistan), Mr. Sun Joun-Yung (Republic ofKorea), Mr. Mahbubani (Singapore), Mr. Kumalo (South Africa), Mr. Samhan (United Arab Emirates), Mr. Mwakawago (United Republic of Tanzania) and Mr. Jokonya (Zimbabwe) took the seats reserved for them at the side ofthe Council Chamber.  The President: In accordance with the understanding reached in the Council's prior consultations, and in the absence of objection, I shall take it that the Security Council agrees to extend invitations under rule 39 of its provisional rules of procedure to Ms. Angela King, Assistant Secretary- General and Special Adviser on Gender Issues and Advancement of Women, and Ms. Noeleen Heyzer, Executive Director of the United Nations Development Fund for Women. There being no objection, it is so decided.  I invite Ms. King to take a seat at the Council table.  I invite Ms. Heyzer to take a seat at the Council table.  The Security Council will now begin its consideration of the item on its agenda. The Council is meeting in accordance with the understanding reached in its prior consultations.  I should like to draw the attention of the members of the council to document S/2000/693, which contains the text of a letter dated 12 July 2000 from the Permanent Representative of Namibia to the United Nations addressed to the Secretary-General, transmitting the Windhoek Declaration and the Namibia Plan of Action on Mainstreaming a Gender Perspective in Multidimensional Peace Support Operations.  I now invite members of the Council to view a short video presentation on women and peace.  A video tape was played in the Council Chamber.   The President: I now give the floor to the Secretary-General, my friend and brother, Kofi Annan.   ",The President,,English,u," I should like to inform the Council that I have received letters from the representatives of Australia, Belarus, Croatia, Cyprus, the Democratic Republic of the Congo, Egypt, Ethiopia, Guatemala, India, Indonesia, Japan, Liechtenstein, Malawi, Mozambique, New Zealand, Norway, Pakistan, the Republic of Korea, Singapore, South Africa, the United Arab Emirates, the United Republic of Tanzania and Zimbabwe in which they request to be invited to participate in the discussion of the item on the Council's agenda. In conformity with the usual practice, I propose, with the consent of the Council, to invite those representatives to participate in the discussion without the right to vote, in accordance with the relevant provisions of the Charter and rule 37 of the Council's provisional rules of procedure.  There being no objection, it is so decided.  At the invitation of the President, Ms. Wensley (Australia), Mr. Ling (Belarus), Mr. Simonovic' (Croatia), Mr. Zackheos (Cyprus), Mr. Atoki (Democratic Republic of the Congo), Mr. Aboulgheit (Egypt), Mr. Hussein (Ethiopia), Mr. Rosenthal (Guatemala), Mr. Sharma (India), Mr. Widodo (Indonesia), Mr. Akasaka (Japan), Ms. Fritsche (Liechtenstein), Mr. Juwayeyi (Malawi), Mr. Santos (Mozambique), Mr. Powles (New Zealand), Mr. Brattskar (Norway), Mr. Ahmad (Pakistan), Mr. Sun Joun-Yung (Republic ofKorea), Mr. Mahbubani (Singapore), Mr. Kumalo (South Africa), Mr. Samhan (United Arab Emirates), Mr. Mwakawago (United Republic of Tanzania) and Mr. Jokonya (Zimbabwe) took the seats reserved for them at the side ofthe Council Chamber.  The President: In accordance with the understanding reached in the Council's prior consultations, and in the absence of objection, I shall take it that the Security Council agrees to extend invitations under rule 39 of its provisional rules of procedure to Ms. Angela King, Assistant Secretary- General and Special Adviser on Gender Issues and Advancement of Women, and Ms. Noeleen Heyzer, Executive Director of the United Nations Development Fund for Women. There being no objection, it is so decided.  I invite Ms. King to take a seat at the Council table.  I invite Ms. Heyzer to take a seat at the Council table.  The Security Council will now begin its consideration of the item on its agenda. The Council is meeting in accordance with the understanding reached in its prior consultations.  I should like to draw the attention of the members of the council to document S/2000/693, which contains the text of a letter dated 12 July 2000 from the Permanent Representative of Namibia to the United Nations addressed to the Secretary-General, transmitting the Windhoek Declaration and the Namibia Plan of Action on Mainstreaming a Gender Perspective in Multidimensional Peace Support Operations.  I now invite members of the Council to view a short video presentation on women and peace.  A video tape was played in the Council Chamber.   The President: I now give the floor to the Secretary-General, my friend and brother, Kofi Annan.   "
UNSC_2000_SPV.4208_spch003.txt,2000,4208,"The President: The next speaker on my list is Ms. Angela King, Assistant Secretary-General and Special Adviser on Gender Issues and Advancement of Women, to whom the Council has extended an invitation under rule 39 of its provisional rules of procedure, and on whom I now call.  ",The President,,English,u," The next speaker on my list is Ms. Angela King, Assistant Secretary-General and Special Adviser on Gender Issues and Advancement of Women, to whom the Council has extended an invitation under rule 39 of its provisional rules of procedure, and on whom I now call.  "
UNSC_2000_SPV.4208_spch005.txt,2000,4208,"The President: I thank Ms. King for her kind words addressed to my country and to me.  The next speaker inscribed on my list is Ms. Noeleen Heyzer, Executive Director of the United Nations Development Fund for Women, to whom the Council has extended an invitation under rule 39 of its provisional rules of procedure. I give her the floor.  ",The President,,English,u," I thank Ms. King for her kind words addressed to my country and to me.  The next speaker inscribed on my list is Ms. Noeleen Heyzer, Executive Director of the United Nations Development Fund for Women, to whom the Council has extended an invitation under rule 39 of its provisional rules of procedure. I give her the floor.  "
UNSC_2000_SPV.4208_spch007.txt,2000,4208,"The President: I thank Ms. Heyzer for her kind words addressed to me.  I should like to inform the Council that I have received letters from the representatives of Botswana and Rwanda in which they request to be invited to participate in the discussion of the item on the Council's agenda.  In accordance with the usual practice, I propose, with the Council's consent, to invite those representatives to participate in the discussion without the right to vote, in accordance with the relevant provisions of the Charter and rule 37 of the Council's provisional rules of procedure.  There being no objection, it is so decided.  At the invitation of the President, Mr. Legwaila (Botswana) and Mr. Mutaboba (Rwanda) took the seats reservedfor them at the side of the Council Chamber.  ",The President,,English,u," I thank Ms. Heyzer for her kind words addressed to me.  I should like to inform the Council that I have received letters from the representatives of Botswana and Rwanda in which they request to be invited to participate in the discussion of the item on the Council's agenda.  In accordance with the usual practice, I propose, with the Council's consent, to invite those representatives to participate in the discussion without the right to vote, in accordance with the relevant provisions of the Charter and rule 37 of the Council's provisional rules of procedure.  There being no objection, it is so decided.  At the invitation of the President, Mr. Legwaila (Botswana) and Mr. Mutaboba (Rwanda) took the seats reservedfor them at the side of the Council Chamber.  "
UNSC_2000_SPV.4208_spch009.txt,2000,4208,The President: I thank the representative of Jamaica for her kind words addressed to my country and to me.  ,The President,,English,u, I thank the representative of Jamaica for her kind words addressed to my country and to me.  
UNSC_2000_SPV.4208_spch011.txt,2000,4208,The President: I thank the representative of the United States for her kind words addressed to me and to my Permanent Representative.  ,The President,,English,u, I thank the representative of the United States for her kind words addressed to me and to my Permanent Representative.  
UNSC_2000_SPV.4208_spch014.txt,2000,4208,The President: I thank the representative of Argentina for the kind words he addressed to my country and to me.  ,The President,,English,u, I thank the representative of Argentina for the kind words he addressed to my country and to me.  
UNSC_2000_SPV.4208_spch016.txt,2000,4208,The President: I thank the representative of China for the kind words he addressed to my delegation and to me.  ,The President,,English,u, I thank the representative of China for the kind words he addressed to my delegation and to me.  
UNSC_2000_SPV.4208_spch018.txt,2000,4208,The President: I thank the representative of the United Kingdom for the kind words he addressed to the Namibian delegation.  ,The President,,English,u, I thank the representative of the United Kingdom for the kind words he addressed to the Namibian delegation.  
UNSC_2000_SPV.4208_spch020.txt,2000,4208,"The President: I thank the representative of Bangladesh for his kind words addressed to my country, to me and to the Namibian delegation.  ",The President,,English,u," I thank the representative of Bangladesh for his kind words addressed to my country, to me and to the Namibian delegation.  "
